"filename", "language", "JavaScript", "XML", "PHP", "JSON", "CSS", "SCSS", "Markdown", "comment", "blank", "total"
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\package.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\phpunit.xml", "XML", 0, 31, 0, 0, 0, 0, 0, 2, 1, 34
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\demo.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\docs.css", "CSS", 0, 0, 0, 0, 1237, 0, 0, 5, 185, 1427
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\material-dashboard.css", "CSS", 0, 0, 0, 0, 15583, 0, 0, 139, 1849, 17571
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\material-dashboard.min.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 64, 11, 88
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\nextjs-material-dashboard-pro.min.css", "CSS", 0, 0, 0, 0, 2, 0, 0, 16, 1, 19
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\nucleo-icons.css", "CSS", 0, 0, 0, 0, 441, 0, 0, 28, 128, 597
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\css\nucleo-svg.css", "CSS", 0, 0, 0, 0, 77, 0, 0, 34, 24, 135
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\fonts\nucleo-icons.svg", "XML", 0, 312, 0, 0, 0, 0, 0, 0, 1, 313
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\down-arrow-dark.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\down-arrow-white.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\down-arrow.svg", "XML", 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\illustrations\pattern-tree.svg", "XML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\landscape.svg", "XML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\laravel-1.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\asusvivobook\Desktop\Laravel\admin-movie\public\assets\img\logos\gray-logos\logo-coinbase.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
